artist_name,community_id,community_size
JID,0,169.0
Kanye West,0,169.0
Empress Of,1,100.0
Ne-Yo,1,100.0
Murda Beatz,1,100.0
Jeremih,1,100.0
Bryson Tiller,1,100.0
Tierra Whack,1,100.0
Mez,0,169.0
EARTHGANG,0,169.0
YNW Melly,0,169.0
Miguel,1,100.0
Lil Duval,0,169.0
9lokknine,0,169.0
Cozz,0,169.0
London On Da Track,0,169.0
24kGoldn,2,15.0
Post Malone,0,169.0
Trippie Redd,0,169.0
Jessie Reyez,1,100.0
Nipsey Hussle,0,169.0
Tay-K,0,169.0
KIDS SEE GHOSTS,0,169.0
Sada Baby,0,169.0
Lil Xan,0,169.0
DDG,0,169.0
Young Scooter,0,169.0
Halsey,1,100.0
WhoHeem,2,15.0
YG,0,169.0
Young M.A,0,169.0
Lil Skies,0,169.0
Childish Gambino,0,169.0
Stevie Wonder,1,100.0
Ball Greezy,2,15.0
YFN Lucci,0,169.0
21 Savage,0,169.0
Doe Boy,0,169.0
DJ Chose,1,100.0
DaBaby,0,169.0
Chief Keef,0,169.0
Gesaffelstein,3,1.0
Fred Hammond,4,1.0
Calvin Harris,1,100.0
Khalid,1,100.0
SAINt JHN,0,169.0
Mike WiLL Made-It,0,169.0
Yella Beezy,0,169.0
NLE Choppa,0,169.0
StaySolidRocky,0,169.0
Rowdy Rebel,5,8.0
Lizzo,1,100.0
Bastille,1,100.0
"Royce Da 5'9""",0,169.0
Playboi Carti,0,169.0
X Ambassadors,1,100.0
Yo Gotti,0,169.0
Buddy,0,169.0
Jagged Edge,1,100.0
Key Glock,0,169.0
Lil Baby,0,169.0
Blac Youngsta,0,169.0
Jhené Aiko,1,100.0
Summer Walker,1,100.0
Saweetie,1,100.0
Mustard,0,169.0
Fat Joe,0,169.0
James Blake,1,100.0
Layton Greene,2,15.0
Death Cab for Cutie,1,100.0
Bill Withers,1,100.0
Travis Scott,0,169.0
Megan Thee Stallion,1,100.0
Cordae,0,169.0
Maluma,6,8.0
Mulatto,2,15.0
PARTYNEXTDOOR,1,100.0
JACKBOYS,0,169.0
G Herbo,0,169.0
Skepta,0,169.0
Nicki Minaj,1,100.0
Gunna,0,169.0
Joyner Lucas,0,169.0
Iggy Azalea,1,100.0
2 Chainz,0,169.0
Machine Gun Kelly,1,100.0
Eminem,0,169.0
Sosa Geek,5,8.0
Matt Ox,0,169.0
Queen Naija,1,100.0
Sleepy Hallow,5,8.0
Anderson .Paak,1,100.0
50 Cent,0,169.0
Moby,7,1.0
Jaden,0,169.0
Big Sean,0,169.0
Lil Nas X,1,100.0
A$AP Rocky,0,169.0
King Von,0,169.0
French Montana,0,169.0
Drake,0,169.0
John Legend,1,100.0
The Weeknd,1,100.0
Jon Z,6,8.0
PnB Rock,0,169.0
Michael Jackson,1,100.0
Migos,0,169.0
Janet Jackson,1,100.0
Mary J. Blige,1,100.0
YoungBoy Never Broke Again,0,169.0
Yung Pinch,0,169.0
6LACK,1,100.0
Derez De__hon,0,169.0
Baby Keem,0,169.0
YK Osiris,2,15.0
Mac Miller,0,169.0
Pusha T,0,169.0
Fabolous,1,100.0
Ali Gatie,1,100.0
NF,0,169.0
Justin Bieber,1,100.0
Sosamann,0,169.0
Missy Elliott,1,100.0
Bobby Shmurda,0,169.0
Marshmello,1,100.0
BROCKHAMPTON,0,169.0
Ed Sheeran,1,100.0
H.E.R.,1,100.0
YBN Nahmir,0,169.0
Clipse,0,169.0
Zhavia Ward,1,100.0
blackbear,1,100.0
XXXTENTACION,2,15.0
Larray,2,15.0
Cardi B,1,100.0
Chris Brown,1,100.0
iann dior,1,100.0
Oumou Sangaré,8,2.0
TK Kravitz,0,169.0
Lute,0,169.0
Kenny G,9,1.0
City Girls,1,100.0
J. Cole,0,169.0
Quavo,0,169.0
Alicia Keys,1,100.0
Ty Dolla $ign,1,100.0
Daddy Yankee,6,8.0
Russ,0,169.0
6ix9ine,2,15.0
Lil Durk,0,169.0
Juice WRLD,0,169.0
Kodak Black,0,169.0
Joey Bada$$,0,169.0
Ella Mai,1,100.0
Chance the Rapper,0,169.0
Takeoff,0,169.0
Polo G,0,169.0
Famous Dex,0,169.0
PHresher,5,8.0
SZA,1,100.0
Swizz Beatz,0,169.0
Kevin Gates,0,169.0
Smokepurpp,0,169.0
Internet Money,0,169.0
DJ Khaled,1,100.0
Lil Pump,0,169.0
Usher,1,100.0
Skylar Grey,1,100.0
Rihanna,1,100.0
J Balvin,6,8.0
M.I.A.,1,100.0
Young T & Bugsey,10,2.0
Stunna 4 Vegas,0,169.0
Lil Tjay,5,8.0
Ski Mask The Slump God,0,169.0
DaniLeigh,1,100.0
Clever,0,169.0
Calboy,0,169.0
Billy Ray Cyrus,11,1.0
Fetty Wap,0,169.0
Kodie Shane,1,100.0
Flipp Dinero,0,169.0
Bebe Rexha,1,100.0
Tyga,0,169.0
Joji,1,100.0
Money Man,0,169.0
NAV,0,169.0
THE SCOTTS,0,169.0
Tee Grizzley,0,169.0
Tyla Yaweh,0,169.0
Kali Uchis,1,100.0
Miley Cyrus,1,100.0
Belly,0,169.0
Rae Sremmurd,0,169.0
Justin Timberlake,1,100.0
Bruno Mars,1,100.0
Nas,0,169.0
Roddy Ricch,0,169.0
Logic,0,169.0
Tank,1,100.0
Moneybagg Yo,0,169.0
Syd,1,100.0
Ambjaay,2,15.0
Wiz Khalifa,0,169.0
Frank Ocean,1,100.0
REASON,0,169.0
Tory Lanez,0,169.0
Landon Cube,0,169.0
Beyoncé,1,100.0
Kane Brown,12,1.0
Rich The Kid,0,169.0
Huncho Jack,0,169.0
Young Nudy,0,169.0
Saudi,13,2.0
Doja Cat,1,100.0
Ashanti,1,100.0
G-Eazy,0,169.0
Static Major,14,1.0
Beatking,1,100.0
Kid Cudi,0,169.0
Jay Rock,0,169.0
Carnage,0,169.0
Meek Mill,0,169.0
Kehlani,1,100.0
Reese LAFLARE,0,169.0
Hit-Boy,0,169.0
King Combs,2,15.0
Lil Mosey,0,169.0
Lil Tecca,0,169.0
WizKid,8,2.0
Ant Clemons,1,100.0
Jacquees,1,100.0
Ugly God,0,169.0
Snoop Dogg,0,169.0
The Kid LAROI,1,100.0
Gunplay,0,169.0
Offset,0,169.0
Chloe x Halle,1,100.0
Plies,2,15.0
Quando Rondo,0,169.0
ScHoolboy Q,0,169.0
Zacari,15,1.0
Aminé,0,169.0
Pop Smoke,5,8.0
Lil Dicky,0,169.0
Arizona Zervas,1,100.0
SAFE,1,100.0
Bad Bunny,6,8.0
Vince Staples,0,169.0
Juicy J,0,169.0
Lil Yachty,0,169.0
Slim Jxmmi,0,169.0
Aretha Franklin,1,100.0
Jermaine Dupri,0,169.0
SOB X RBE,0,169.0
Anuel AA,6,8.0
Young Dolph,0,169.0
Yung Bleu,0,169.0
Bhad Bhabie,1,100.0
Don Toliver,0,169.0
JAY-Z,0,169.0
Kris Wu,16,1.0
"Tyler, The Creator",0,169.0
Fivio Foreign,0,169.0
Busta Rhymes,0,169.0
42 Dugg,0,169.0
Lil Wayne,0,169.0
Childish Major,1,100.0
Diplo,1,100.0
Disclosure,1,100.0
The Carters,1,100.0
Rvssian,6,8.0
Young Thug,0,169.0
Future,0,169.0
Kendrick Lamar,0,169.0
N.E.R.D,0,169.0
Lil Uzi Vert,0,169.0
Luh Kel,2,15.0
Giveon,1,100.0
Kiana Ledé,1,100.0
Jack Harlow,0,169.0
Yugen Blakrok,13,2.0
BlocBoy JB,0,169.0
MadeinTYO,0,169.0
Vedo,2,15.0
Ariana Grande,1,100.0
Swae Lee,0,169.0
Wale,1,100.0
bbno$,1,100.0
Shordie Shordie,2,15.0
Guapdad 4000,0,169.0
Headie One,10,2.0
J.I the Prince of N.Y,5,8.0
Gucci Mane,0,169.0
A Boogie Wit da Hoodie,0,169.0
Brent Faiyaz,0,169.0
Stacy Barthe,1,100.0
Pardison Fontaine,5,8.0
Rod Wave,0,169.0
Dom Kennedy,0,169.0
Ciara,1,100.0
Louis Prima,1,100.0
Blueface,0,169.0
KAROL G,6,8.0
T-Pain,1,100.0
Labrinth,1,100.0
Trevor Daniel,1,100.0
Rick Ross,0,169.0
A$AP Ferg,0,169.0
Y2K,1,100.0
T.I.,0,169.0
Daniel Caesar,1,100.0
Dreamville,0,169.0
Sheck Wes,0,169.0
Metro Boomin,0,169.0
