artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.id,artists.items.0.name,artists.items.0.popularity
270618,emo rap,sad rap,underground hip hop,vapor trap,,,,,,,04ei5kNgmDuNAydFhhIHnD,Landon Cube,70
198434,social media pop,viral rap,,,,,,,,,0rQjJGZLXBq95OA3nSmDj9,Larray,63
209364,pop r&b,,,,,,,,,,02ZtVIjKL1PYLlMmP1sz0h,Layton Greene,67
5453957,atl hip hop,atl trap,rap,,,,,,,,5f7VJjfbwm532GiveGC0ZK,Lil Baby,94
1730456,comedy rap,pop rap,rap,,,,,,,,1tqhsYv8yBBdwANFNzHtcr,Lil Dicky,71
1930318,chicago drill,chicago rap,drill,hip hop,rap,southern hip hop,trap,,,,3hcs9uc56yIGFCSy9leWe7,Lil Durk,88
2990715,melodic rap,rap conscient,vapor trap,,,,,,,,5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,86
3680917,country rap,lgbtq+ hip hop,pop rap,queer country,,,,,,,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,81
7350154,emo rap,miami hip hop,rap,trap,underground hip hop,,,,,,3wyVrVrFCkukjdVIdirGVY,Lil Pump,77
4525597,melodic rap,pop rap,rap,trap,,,,,,,7d3WFRME3vBY2cgoP38RDo,Lil Skies,81
3050768,melodic rap,rap,trap,,,,,,,,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,84
2025908,brooklyn drill,melodic rap,nyc rap,,,,,,,,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,88
10159030,melodic rap,philly rap,rap,trap,,,,,,,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,93
9755605,hip hop,new orleans rap,pop rap,rap,trap,,,,,,55Aa2cqylxrFIXC767Z865,Lil Wayne,91
2098803,emo rap,underground hip hop,,,,,,,,,3EXdLajEO02ziZ90P90bSW,Lil Xan,70
6673888,atl hip hop,hip hop,melodic rap,rap,southern hip hop,trap,underground hip hop,,,,6icQOAFXDZKsumw3YXyusw,Lil Yachty,84
54438,hip hop,,,,,,,,,,6YiHht3u7FFszle72kpbdQ,Lil Duval,56
3337884,dance pop,escape room,minnesota hip hop,pop,pop dance,pop rap,trap queen,,,,56oDRnqbIiwx4mymNEv7dS,Lizzo,80
5025435,conscious hip hop,dmv rap,hip hop,pop rap,rap,,,,,,4xRYI6VqpkE3UwrDrAZL8L,Logic,85
55275,atl hip hop,,,,,,,,,,5Nf5yishRW9Ye174sJISkg,London On Da Track,67
123618,adult standards,jump blues,lounge,soul,swing,vocal jazz,,,,,52lBOxCxbJg0ttXEW9CQpW,Louis Prima,64
537690,pop r&b,st louis rap,,,,,,,,,24CgJHK6T7C5OmUbiLLMjJ,Luh Kel,72
92788,north carolina hip hop,underground hip hop,,,,,,,,,75WcpJKWXBV3o3cfluWapK,Lute,65
963182,dance pop,escape room,indietronica,new rave,,,,,,,0QJIPDAEDILuo8AIq3pMuU,M.I.A.,78
5056221,hip hop,pittsburgh rap,pop rap,rap,,,,,,,4LLpKhyESsyAXpc4laK94U,Mac Miller,87
2727883,ohio hip hop,pop rap,,,,,,,,,6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,90
3777,,,,,,,,,,,18AOdS1Qw4XXnQSiPJQr1B,Mack Maine,50
948978,atl hip hop,hip hop,melodic rap,pop rap,rap,southern hip hop,trap,underground hip hop,vapor trap,,5SyGEPymt1G2uto47tVWvZ,MadeinTYO,73
21841856,reggaeton,reggaeton colombiano,,,,,,,,,1r4hJ1h58CWwUQe3MxPuau,Maluma,95
27890261,brostep,edm,pop,pop dance,progressive electro house,,,,,,64KEffDW9EtZ1y2vBYgq8T,Marshmello,91
2469741,dance pop,hip pop,neo soul,pop,r&b,urban contemporary,,,,,1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,75
218750,melodic rap,underground hip hop,vapor trap,,,,,,,,2J6pigOrBmKQgqJUY5UM7r,Matt Ox,59
4560562,hip hop,philly rap,pop rap,rap,southern hip hop,trap,,,,,20sxb77xiYeusSH8cVdatc,Meek Mill,83
2485606,houston rap,pop,pop rap,trap queen,,,,,,,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,90
2149648,hip hop,pop rap,rap,southern hip hop,trap,,,,,,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,89
10043,north carolina hip hop,,,,,,,,,,30C5wgn4celhRP3Tytv7R6,Mez,61
16405677,pop,r&b,soul,,,,,,,,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,86
10956534,atl hip hop,hip hop,pop rap,rap,trap,,,,,,6oMuImdp5ZcFhWP0ESe6mG,Migos,84
3084426,dance pop,pop,pop rap,r&b,urban contemporary,,,,,,360IAlyVv4PCEVjgyMZrxK,Miguel,82
1136200,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,,,,0NWbwDZY1VkRqFafuQm6wk,Mike WiLL Made-It,76
1477229,dance pop,hip hop,hip pop,pop,pop rap,r&b,urban contemporary,virginia hip hop,,,2wIVse2owClT7go1WT98tk,Missy Elliott,77
13166075,dance pop,pop,pop dance,post-teen pop,,,,,,,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,89
1331239,downtempo,electronica,,,,,,,,,3OsRAKCvk37zwYcnzRf5XF,Moby,74
271252,atl trap,rap,southern hip hop,trap,,,,,,,3Rx4PJ7SP6unkOk5elPUK7,Money Man,76
1682907,rap,southern hip hop,tennessee hip hop,trap,,,,,,,3tJoFztHeIJkJWMrx0td2f,Moneybagg Yo,81
,,,,,,,,,,,,,
364713,pop r&b,trap queen,,,,,,,,,3MdXrJWsbVzdn6fe5JYkSQ,Mulatto,75
115704,canadian hip hop,,,,,,,,,,3CbYyyd8wH3RT6t0jwpdzC,Murda Beatz,69
771802,cali rap,hip hop,pop rap,rap,southern hip hop,trap,,,,,0YinUQ50QDB7ZxSCLyQ40k,Mustard,83
616070,hip hop,virginia hip hop,,,,,,,,,5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D,64
2126823,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap,,,,20qISvAhX20dpIbOOzGK3q,Nas,77
2252825,canadian hip hop,melodic rap,pop rap,rap,toronto rap,trap,,,,,7rkW85dBwwrJtlHRDkJDAC,NAV,90
,,,,,,,,,,,,,
5818060,baton rouge rap,trap,,,,,,,,,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,89
5630500,dance pop,pop,pop rap,r&b,urban contemporary,,,,,,21E3waRsmPlU7jZsS13rcj,Ne-Yo,82
4473538,hip hop,pop rap,rap,,,,,,,,6fOMl44jA4Sp5b9PpYCkzz,NF,86
19257344,dance pop,hip pop,pop,pop dance,pop rap,post-teen pop,queens hip hop,,,,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,92
1766904,conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,,,,0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,76
2411440,memphis hip hop,,,,,,,,,,0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,84
1785544,atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,,,,,4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,84
67195,afrobeat,afropop,malian blues,mande pop,wassoulou,world,,,,,65CKKZilbcSKkAPC9a5Mvh,Oumou Sangaré,56
106926,nyc rap,,,,,,,,,,7Gkyjs2OYQpJdOvvmwIz2Z,Pardison Fontaine,58
2635636,pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary,,,,2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,83
37604,nyc rap,,,,,,,,,,0FTrIsp2Mg7Bkf8eXQrISa,PHresher,49
4092114,atl hip hop,hip hop,rap,trap,underground hip hop,,,,,,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,82
1214372,dirty south rap,gangster rap,hip hop,miami hip hop,pop r&b,pop rap,rap,southern hip hop,trap,urban contemporary,3jksrX4oBklxR78ft8gv3j,Plies,71
2758282,melodic rap,pop rap,rap,trap,,,,,,,21WS9wngs9AqFckK7yYJPM,PnB Rock,80
2455946,chicago rap,,,,,,,,,,6AgTAQt8XS6jRWi4sX7w49,Polo G,90
2602526,brooklyn drill,,,,,,,,,,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,96
29386814,dfw rap,melodic rap,rap,,,,,,,,246dkjvS1zLTtiykXe5h60,Post Malone,95
1814209,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,virginia hip hop,,,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,74
1229711,melodic rap,trap,,,,,,,,,4IprNlQiJZUUJhDl0fL2SL,Quando Rondo,70
4475798,atl hip hop,hip hop,melodic rap,pop rap,rap,southern hip hop,trap,,,,0VRj0yCOv2FXJNP47XQnx5,Quavo,87
1648664,pop,pop r&b,r&b,urban contemporary,,,,,,,3nViOFa3kZW8OMSNOzwr98,Queen Naija,73
562,,,,,,,,,,,65TI81cGOUJx4OXM4VHTND,Queendome Come,61
6144140,hip hop,melodic rap,mississippi hip hop,pop rap,rap,southern hip hop,trap,,,,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,78
428343,cali rap,trap,vapor trap,,,,,,,,2TImI3DW7o5MdRXJs4D37h,SOB X RBE,63
99817,hip hop,indie hip hop,rap,underground hip hop,,,,,,,6XpXnnKHIhCOUbOLOJGe6o,REASON,65
52240,underground hip hop,vapor trap,,,,,,,,,07V3atNq2TyPNDYmzp6Dyy,Reese LAFLARE,61
617,,,,,,,,,,,66jpZDjMcxF3SfDfwK7GXe,Reginae Carter,46
2381936,atl hip hop,hip hop,melodic rap,pop rap,rap,southern hip hop,trap,vapor trap,,,1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,80
4376927,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,,,,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,83
39885422,barbadian pop,dance pop,pop,pop dance,post-teen pop,r&b,urban contemporary,,,,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,92
1354214,florida rap,,,,,,,,,,45TgXXqMDdF8BkjA83OM7z,Rod Wave,82
4788145,melodic rap,rap,trap,,,,,,,,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,91
51759,nyc rap,,,,,,,,,,6LXRvV2OAtXF7685fzh3mj,Rowdy Rebel,64
524714,alternative hip hop,detroit hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop,,,,6DVipHzYsPlIoA0DW8Gmns,"Royce Da 5'9""",69
524714,alternative hip hop,detroit hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop,,,,6DVipHzYsPlIoA0DW8Gmns,"Royce Da 5'9""",69
3742767,hawaiian hip hop,pop rap,rap,,,,,,,,1z7b1Pr1rSlvWRzsW3HOrS,Russ,83
1111264,latin,latin hip hop,reggaeton,reggaeton flow,trap latino,tropical,,,,,1fctva4kpRbg2k3v7kwRuS,Rvssian,73
22103,,,,,,,,,,,4we5S2VLjgY9KzIzApL1KI,Ryan Tedder,64
242871,detroit trap,scam rap,trap,,,,,,,,2JSwnwAT1BupAQkhqcRCUw,Sada Baby,72
126726,canadian hip hop,trap soul,,,,,,,,,3bnpcWBcvlfq4hPFJjNPbz,SAFE,57
562628,melodic rap,pop rap,rap,,,,,,,,0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,84
15889,south african hip hop,,,,,,,,,,37Qsf5KCKljH7mL134xp4k,Saudi,57
808147,cali rap,pop,pop rap,trap queen,,,,,,,6cK3NBO6uP7hh0oyuVELFl,Saweetie,80
3402591,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,,,,5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,80
,,,,,,,,,,,,,
990690,rap,trap,underground hip hop,vapor trap,,,,,,,2RDOrhPqAM4jzTRCEb19qX,Sheck Wes,71
175,,,,,,,,,,,229HpjJ0mDMcH3PXuj85O2,Sherhonda Gaulden,40
100637,baltimore hip hop,cali rap,,,,,,,,,5fyvTyetDr7gvLafBsEEhU,Shordie Shordie,66
836711,birmingham grime,grime,instrumental grime,rap,,,,,,,2p1fiYHYiXz9qi0JJyxBzN,Skepta,80
3680058,miami hip hop,underground hip hop,vapor trap,,,,,,,,2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,81
420531,electropop,piano rock,viral pop,,,,,,,,4utLUGcTvOJFr6aqIJtYWV,Skylar Grey,74
176931,brooklyn drill,nyc rap,,,,,,,,,6EPlBSH2RSiettczlz7ihV,Sleepy Hallow,75
81563,trap,,,,,,,,,,7EEiVZvj6RCEtVX2F2pyxu,Slim Jxmmi,68
2099979,melodic rap,meme rap,miami hip hop,rap,trap,underground hip hop,vapor trap,,,,21dooacK2WGBB5amYvKyfM,Smokepurpp,72
6343432,g funk,gangster rap,hip hop,rap,west coast rap,,,,,,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,87
428343,cali rap,trap,vapor trap,,,,,,,,2TImI3DW7o5MdRXJs4D37h,SOB X RBE,63
2787,brooklyn drill,,,,,,,,,,2UyyBkpzN5w3hzZBZGvRZb,Sosa Geek,58
32811,atl trap,houston rap,vapor trap,,,,,,,,3Bj81IbILbuj2uEwWXMdXI,Sosamann,53
21168,pop soul,,,,,,,,,,0yq6uHIfFks9yOURUuCITV,Stacy Barthe,55
3469,chill r&b,,,,,,,,,,3pbi8H08p95NUZ7m6ybxUV,Static Major,62
118243,melodic rap,viral rap,,,,,,,,,1XLWox9w1Yvbodui0SRhUQ,StaySolidRocky,76
4605728,funk,motown,quiet storm,soul,,,,,,,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder,81
434419,southern hip hop,trap,,,,,,,,,44IvvHRk2XF243QLA2VOa8,Stunna 4 Vegas,73
1770135,pop,r&b,,,,,,,,,57LYzLEk2LcFghVwuWbcuS,Summer Walker,82
,,,,,,,,,,,,,
975591,melodic rap,pop rap,rap,trap,,,,,,,1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,87
975591,melodic rap,pop rap,rap,trap,,,,,,,1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,87
267663,battle rap,hip pop,pop rap,rap,southern hip hop,trap,,,,,2cADQgiLMjNhbsfeN52Bf3,Swizz Beatz,67
355562,alternative r&b,lgbtq+ hip hop,,,,,,,,,3jk39CGeaaSO3FPKNx1RUx,Syd,69
3877427,pop,pop rap,rap,,,,,,,,7tYKF4w9nC0nq9CsPZTHyP,SZA,84
3877427,pop,pop rap,rap,,,,,,,,7tYKF4w9nC0nq9CsPZTHyP,SZA,84
2951152,dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,,3aQeKQSyrW4qWr35idm0cy,T-Pain,82
3509561,atl hip hop,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,,4OBJLual30L7gRl5UkeRcT,T.I.,81
1039973,atl hip hop,rap,southern hip hop,trap,vapor trap,,,,,,3EW0kQ1skZiK1NHg3Spt9J,Takeoff,68
524863,pop r&b,r&b,urban contemporary,,,,,,,,4mwXUEKaW4ftbncf9Hi58l,Tank,63
2211452,cali rap,dfw rap,rap,trap,underground hip hop,vapor trap,viral rap,,,,2ODbg2404zUzTi02qIPEjB,Tay-K,69
2117325,detroit hip hop,detroit trap,hip hop,pop rap,rap,southern hip hop,trap,,,,6AUl0ykLLpvTktob97x9hO,Tee Grizzley,75
971567,pop,pop rap,r&b,urban contemporary,,,,,,,4fpTMHe34LC5t3h5ztK8qu,The Carters,63
5330309,hip hop,rap,,,,,,,,,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",85
745619,australian hip hop,,,,,,,,,,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,90
160331,rap,,,,,,,,,,2PaZWGu5T5nHjY2xxAkFsT,THE SCOTTS,73
25865695,canadian contemporary r&b,canadian pop,pop,,,,,,,,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96
292582,alternative r&b,escape room,indie soul,,,,,,,,4lPl9gqgox3JDiaJ1yklKh,Tierra Whack,70
175016,pop r&b,trap,,,,,,,,,65rDIPdQD7ijLSOq32cMXo,TK Kravitz,61
29,,,,,,,,,,,1hZyutc6z6g51tuupZ0qdI,Tokyo's Revenge,29
3331458,canadian hip hop,melodic rap,pop rap,rap,toronto rap,trap,,,,,2jku7tDXc6XoB6MO2hFuqg,Tory Lanez,87
13614143,rap,,,,,,,,,,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,96
511596,alternative r&b,melodic rap,pop rap,,,,,,,,7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,80
5545490,melodic rap,rap,trap,,,,,,,,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,91
3559025,hip hop,pop,pop rap,r&b,trap,trap soul,,,,,7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,91
5998068,dance pop,hip hop,pop rap,rap,trap,,,,,,5LHRHt1k9lMyONurDHEdrp,Tyga,89
235543,cali rap,melodic rap,pop rap,rap,trap,,,,,,1MXZ0hsGic96dWRDKwAwdr,Tyla Yaweh,76
5330309,hip hop,rap,,,,,,,,,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",85
1848217,meme rap,trap,underground hip hop,vapor trap,,,,,,,3Fdm9TFJQCLmC3AWMuGExi,Ugly God,62
8198161,atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary,,,,,23zg3TcAtWQy7J6upgbUnj,Usher,85
181827,pop r&b,,,,,,,,,,3wVXTWabe3viT0jF7DfjOL,Vedo,76
1215939,conscious hip hop,escape room,hip hop,rap,southern hip hop,underground hip hop,,,,,68kEuyFKyqrdQQLLsmiatm,Vince Staples,73
2840201,dance pop,gangster rap,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,67nwj3Y5sZQLl72VNUHEYE,Wale,79
869,,,,,,,,,,,79KQgTCu4wV38ECYKn62DZ,White Gold,59
18206,viral rap,,,,,,,,,,5KYEMMz9O9iLIESifKAEOp,WhoHeem,72
9487232,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,,,,,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,88
483202,afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop,,,,,,3tVQdUvClmAT7URs9V3rsp,WizKid,80
2275252,modern alternative rock,modern rock,pop,pop rock,rock,stomp pop,,,,,3NPpFNZtSTHheNBaWC82rB,X Ambassadors,79
23121091,emo rap,miami hip hop,,,,,,,,,15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,93
250271,pop rap,,,,,,,,,,6USMTwO0MNDnKte5a5h0xx,Y2K,73
2340186,alabama rap,rap,trap,underground hip hop,vapor trap,viral rap,,,,,3gGUMEwIX6XodWsYEvKSal,YBN Nahmir,70
842730,dfw rap,hip hop,rap,southern hip hop,trap,,,,,,7kwCkEJ384PWm0UQW3hxjS,Yella Beezy,66
1653715,arkansas hip hop,atl hip hop,melodic rap,pop r&b,rap,southern hip hop,trap,,,,5Berubt6ysOy2LCMyqhmXP,YFN Lucci,71
2385009,cali rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,,,,0A0FS04o6zMoto8OKPsDwY,YG,84
962722,melodic rap,pop r&b,pop rap,trap,viral rap,,,,,,7meyrw7Or5DwteYxDJrkCM,YK Osiris,68
4959974,melodic rap,,,,,,,,,,1cNDP5yjU5vjeR8qMf4grg,YNW Melly,83
3081235,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,tennessee hip hop,trap,,6Ha4aES39QiVjR0L2lwuwq,Yo Gotti,77
1434415,gangster rap,hip hop,rap,southern hip hop,tennessee hip hop,trap,,,,,3HiuzBlSW7pGDXlSFMhO2g,Young Dolph,74
1051789,hip hop,lgbtq+ hip hop,nyc rap,pop rap,rap,trap,,,,,7LvoDJUNGnOrPdGRzVtOJ9,Young M.A,70
519588,rap,southern hip hop,trap,underground hip hop,vapor trap,,,,,,5yPzzu25VzEk8qrGTLIrE1,Young Nudy,72
395015,atl trap,dirty south rap,drill,gangster rap,rap,southern hip hop,trap,,,,4cmA2QDPdzh8W2ytpyUGes,Young Scooter,61
2703,,,,,,,,,,,1iBGuNBYRKnNdKxm0kKNM0,Young Sinatra,44
5675094,atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap,,,,50co4Is1HCEo8bhOyUWKpn,Young Thug,93
5675094,atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap,,,,50co4Is1HCEo8bhOyUWKpn,Young Thug,93
5818060,baton rouge rap,trap,,,,,,,,,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,89
5818060,baton rouge rap,trap,,,,,,,,,7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,89
10328,south african hip hop,spiritual hip hop,,,,,,,,,3kv1Edgn5HlEWCuEKr1Y9x,Yugen Blakrok,47
599603,alabama rap,pop r&b,trap,,,,,,,,3KNIG74xSTc3dj0TRy7pGX,Yung Bleu,70
415207,emo rap,melodic rap,oc rap,pop rap,rap,sad rap,trap,underground hip hop,vapor trap,,61qMnYXa1GxSBoV3IiYKjZ,Yung Pinch,68
61380,gqom,,,,,,,,,,3qBKjEOanahMxlRojwCzhI,Zacari,69
385201,pop,,,,,,,,,,1CO6e7WRJvSFenmQO8n64C,Zhavia Ward,68